first_name,last_name,email,phone,item_viewed,cart_page_visits_30d,email_opens_30d,clicked_buy_now_email,account_credit_usd,last_purchase_date
Sarah,Connor,sarah.connor@gmail.com,555-201-4477,Women's Puffer Jacket,4,3,no,100,
james,mitchell,JAMES.MITCHELL@YAHOO.COM,(555) 883-2210,Men's Down Parka,2,5,no,100,
Priya, Nair ,priya.nair@@gmail.com,91-9876543210,Kids Winter Coat,6,4,no,100,
Wei,Chen,weichen@gmial.com,15558832291,Men's Fleece-Lined Jacket,3,2,no,100,2024-01-12
Emma,O'Brien,emma.obrien@hotmail.com,044 7911 123456,Women's Wool Coat,5,6,no,100,
Carlos,Ramirez,carlos.ramirez,555.204.8871,Men's Puffer Jacket,2,3,no,100,
,Thompson,a.thompson@example.com,5552019988,Women's Down Jacket,7,5,no,100,
Aiden,Walsh,AIDEN.WALSH@OUTLOOK.COM ,+1 555 209 4432,Kids Puffer Jacket,3,4,no,100,
Fatima,Al-Sayed,fatima.alsayed@yahoo.com,00971501234567,Women's Shearling Coat,4,3,no,100,
Noah,Kim,noahkim@,5551234567,Men's Winter Parka,2,2,no,100,
Grace,Lee,grace.lee@gmail.com,555-77-99-01,Women's Puffer Jacket,5,4,no,100,
Marcus,Bell,marcus.bell@gmail.con,5552081234,Men's Down Vest,3,3,no,100,
Olivia,Martin,olivia.martin@gmail.com,,Kids Winter Jacket,6,5,no,100,
Daniel,Osei,daniel.osei@gmail.com,233241234567,Men's Winter Coat,4,3,no,100,
